HUC10,HUC10_Name,Study_Area
109000504,Frontal Block Island Sound,Southwest Coastal Ponds Watershed
109000302,Lower Blackstone River,Narragansett Bay Watershed
109000503,Lower Pawcatuck River,Little Narragansett Bay Watershed
109000408,Lower Taunton River-Frontal Mount Hope Bay,Narragansett Bay Watershed
109000402,Middle Taunton River,Narragansett Bay Watershed
109000409,Narragansett Bay,Narragansett Bay Watershed
109000407,Palmer River,Narragansett Bay Watershed
110000303,Part of Southeast Coastal-Pawcatuck River to Eastern Point,Little Narragansett Bay Watershed
109000406,Pawtuxet River,Narragansett Bay Watershed
109000404,Ten Mile River,Narragansett Bay Watershed
109000403,Threemile River,Narragansett Bay Watershed
109000301,Upper Blackstone River,Narragansett Bay Watershed
109000502,Upper Pawcatuck River,Little Narragansett Bay Watershed
109000401,Upper Taunton River,Narragansett Bay Watershed
109000501,Wood River,Little Narragansett Bay Watershed
109000405,Woonasquatucket River-Moshassuck River,Narragansett Bay Watershed
